,Frames,Angles,Angles-Hip,label
1467,23.60655738,137.4566418,170.390916,0
1468,24.26229508,158.8921113,179.723304,0
1469,24.91803279,156.8026062,178.285286,0
1470,25.57377049,167.8983441,175.3540694,0
1471,26.2295082,172.2682514,172.6508717,0
1472,26.8852459,188.5767897,166.3629176,0
1473,27.54098361,228.7103392,144.7636192,0
1474,28.19672131,260.4275042,120.082553,0
1475,28.85245902,279.6154044,104.3279567,0
1476,29.50819672,299.973958,86.6077549,0
1477,30.16393443,309.4180196,74.4356338,0
1478,30.81967213,314.6141406,68.03825323,0
1479,31.47540984,321.2178271,64.96563799,0
1480,32.13114754,322.0606314,60.92948113,0
1481,32.78688525,330.1856742,52.98189009,0
1482,33.44262295,332.9342516,49.82868545,0
1483,34.09836066,338.0371269,45.86666005,0
1484,34.75409836,343.6700932,40.94324113,0
1485,35.40983607,344.6173312,39.40403751,0
1486,36.06557377,350.3102255,36.02087406,0
1487,36.72131148,355.8846161,34.30275705,0
1488,37.37704918,355.2167775,31.9386066,0
1489,38.03278689,352.8194221,30.30944939,0
1490,38.68852459,355.6251819,28.32827618,0
1491,39.3442623,355.5572761,28.18163031,0
1492,0,356.3107826,29.02571533,0
1493,0.625,356.8113708,30.12608271,0
1494,1.25,356.6798177,30.39764762,0
1495,1.875,357.4700843,30.26239963,0
1496,2.5,358.015871,30.01292355,0
1497,3.125,355.7508847,30.81331586,0
1498,3.75,354.7992754,30.90234054,0
1499,4.375,355.6238432,31.22134453,0
1500,5,356.1492177,32.57898464,0
1501,5.625,354.5630565,33.59885483,0
1502,6.25,346.6178663,36.3064511,0
1503,6.875,343.6956791,39.48257444,0
1504,7.5,339.6693646,41.8981972,0
1505,8.125,333.1813542,46.54160568,0
1506,8.75,330.9517073,49.0569253,0
1507,9.375,329.3716933,52.16164926,0
1508,10,324.8879336,55.65863781,0
1509,10.625,321.1734035,59.40647872,0
1510,11.25,316.4564612,65.29207322,0
1511,11.875,315.7783737,68.77277177,0
1512,12.5,307.0479986,79.05819655,0
1513,13.125,304.0925211,80.7381089,0
1514,13.75,285.9817827,98.57928018,0
1515,14.375,277.887749,106.0026918,0
1516,15,270.8054303,115.0217653,0
1517,15.625,257.1478523,132.1515929,0
1518,16.25,204.5484562,161.2603838,0
1519,16.875,196.5703854,162.8008647,0
1520,17.5,187.8170404,163.9141719,0
1521,18.125,175.1321633,169.9559523,0
1522,18.75,140.2666226,171.3662124,0
1523,19.375,171.6890377,171.2770202,0
1524,20,149.8392625,174.7777143,0
1525,20.625,148.2172702,174.8564937,0
1526,21.25,145.8078458,173.647359,0
1527,21.875,137.1688928,169.6525316,0
1528,22.5,122.2099828,163.2914262,0
1529,23.125,134.2010663,169.2712295,0
1530,23.75,162.658906,175.4749364,0
1531,24.375,179.4000275,170.6166501,0
1532,25,178.6919008,164.3444874,0
1533,25.625,164.7295598,175.2241318,0
1534,26.25,173.1480685,172.1057133,0
1535,26.875,232.1640653,135.3754422,0
1536,27.5,258.5011177,117.8041248,0
1537,28.125,275.393323,102.5247594,0
1538,28.75,290.1386222,88.87708525,0
1539,29.375,300.8202458,79.4961073,0
1540,30,310.023106,69.5916773,0
1541,30.625,319.4820574,63.58147966,0
1542,31.25,324.7250746,56.64666566,0
1543,31.875,332.9346068,50.86774847,0
1544,32.5,338.2543269,47.28445706,0
1545,33.125,343.6157113,44.01777224,0
1546,33.75,347.3307194,40.37793369,0
1547,34.375,354.7390568,36.96235758,0
1548,35,356.3200134,34.55460661,0
1549,35.625,359.3212158,32.56233947,0
1550,36.25,357.2924074,30.70330541,0
1551,36.875,352.3018167,28.41877789,0
1552,37.5,351.5942911,28.44365856,0
1553,38.125,349.7881295,28.29140682,0
1554,38.75,354.5367949,29.83666028,0
1555,39.375,354.3012899,28.8649156,0
1556,0,354.0992903,28.87489451,0
1557,0.701754386,355.0375297,29.18627259,0
1558,1.403508772,357.1250814,29.77530469,0
