,Frames,Angles
150,34.16666667,254.2062064
151,35,270.1149191
152,35.83333333,282.7785406
153,36.66666667,296.7658801
154,37.5,310.7452829
155,38.33333333,323.9759331
156,39.16666667,328.2437904
157,0,328.0518621
158,0.8,322.3601425
159,1.6,323.6198207
160,2.4,320.8442777
161,3.2,317.7748453
162,4,312.9638103
163,4.8,312.6963811
164,5.6,305.8006221
165,6.4,296.3730896
166,7.2,286.3696901
167,8,272.695146
168,8.8,266.172971
169,9.6,255.210654
170,10.4,238.8388545
171,11.2,220.9487586
172,12,209.2621136
173,12.8,198.3708306
174,13.6,187.5150645
175,14.4,178.9040265
176,15.2,165.2625814
177,16,159.0233949
178,16.8,149.6785213
179,17.6,142.9789253
180,18.4,140.2599909
181,19.2,138.2954646
182,20,137.4838196
183,20.8,142.2053927
184,21.6,145.2563016
185,22.4,146.9811157
186,23.2,144.3500721
187,24,143.1002568
188,24.8,143.8239837
189,25.6,142.1814598
190,26.4,140.3876882
191,27.2,148.7317751
192,28,147.4319081
193,28.8,158.1656051
194,29.6,172.6040239
195,30.4,193.9618342
196,31.2,212.1297822
197,32,226.5860142
198,32.8,250.5173032
199,33.6,263.2665616
200,34.4,275.2250344
201,35.2,288.4020676
202,36,313.2652402
203,36.8,322.3016351
204,37.6,328.3972648
205,38.4,334.0954047
206,39.2,332.1432001
207,0,330.9649378
208,0.869565217,326.6482172
209,1.739130435,323.2155691
210,2.608695652,322.9227452
211,3.47826087,317.5348188
212,4.347826087,311.7133256
213,5.217391304,303.3402787
214,6.086956522,290.3920022
215,6.956521739,279.821779
216,7.826086957,269.7849936
217,8.695652174,260.9235198
218,9.565217391,251.6174008
219,10.43478261,235.0138939
220,11.30434783,219.002783
221,12.17391304,205.8122124
222,13.04347826,195.6614312
223,13.91304348,182.2494805
224,14.7826087,172.889116
225,15.65217391,162.174489
226,16.52173913,152.2647861
227,17.39130435,147.2924903
228,18.26086957,139.4325545
229,19.13043478,137.0608669
230,20,141.5610873
231,20.86956522,145.2631318
232,21.73913043,141.9283056
233,22.60869565,141.6312197
234,23.47826087,142.9002962
235,24.34782609,141.473497
236,25.2173913,141.8899746
237,26.08695652,147.8839027
238,26.95652174,153.1590491
239,27.82608696,160.0884126
240,28.69565217,173.120031
241,29.56521739,185.7931738
242,30.43478261,202.0667826
243,31.30434783,220.5692186
244,32.17391304,236.0500609
245,33.04347826,259.9839044
246,33.91304348,273.6141206
247,34.7826087,279.1540324
248,35.65217391,295.9022436
249,36.52173913,310.4152345
250,37.39130435,322.2908844
251,38.26086957,325.0858798
252,39.13043478,328.7275864
253,0,328.5521325
254,0.754716981,324.4041449
255,1.509433962,323.0341593
256,2.264150943,323.6578102
257,3.018867925,324.0736048
258,3.773584906,322.5674934
259,4.528301887,323.9889651
260,5.283018868,312.6147876
261,6.037735849,300.9730854
262,6.79245283,287.229529
263,7.547169811,275.7405907
264,8.301886792,265.6903772
265,9.056603774,258.8508443
266,9.811320755,248.3983053
267,10.56603774,229.5815986
268,11.32075472,214.1719815
269,12.0754717,200.8539322
270,12.83018868,184.777716
271,13.58490566,171.4411159
272,14.33962264,168.4540556
273,15.09433962,158.5679578
274,15.8490566,150.0453298
275,16.60377358,147.5020678
276,17.35849057,138.2280916
277,18.11320755,134.5847048
278,18.86792453,135.1898596
279,19.62264151,140.2230533
280,20.37735849,139.0712375
281,21.13207547,144.0667013
282,21.88679245,147.9178898
283,22.64150943,141.1420143
284,23.39622642,148.8406756
285,24.1509434,143.2695635
286,24.90566038,142.3224349
287,25.66037736,150.1326469
288,26.41509434,156.5466043
289,27.16981132,166.254762
290,27.9245283,179.0506023
291,28.67924528,188.6086871
292,29.43396226,206.1005557
293,30.18867925,222.721821
294,30.94339623,240.0795174
295,31.69811321,252.3444334
296,32.45283019,269.5570156
297,33.20754717,281.3683797
298,33.96226415,292.0400449
299,34.71698113,316.1480308
300,35.47169811,326.4085732
301,36.22641509,333.7166024
302,36.98113208,335.2122499
303,37.73584906,333.424243
304,38.49056604,332.267209
305,39.24528302,328.7851376
306,0,328.8162969
307,0.816326531,328.5049769
308,1.632653061,327.5434228
309,2.448979592,326.0233779
310,3.265306122,318.8156022
311,4.081632653,316.109331
312,4.897959184,303.1344577
313,5.714285714,289.3267522
314,6.530612245,278.5838755
315,7.346938776,270.0792655
316,8.163265306,264.5077982
317,8.979591837,248.6522244
318,9.795918367,236.1846703
319,10.6122449,216.1377646
320,11.42857143,208.6761381
321,12.24489796,187.4491122
322,13.06122449,179.6606202
323,13.87755102,170.8379282
324,14.69387755,159.8518148
325,15.51020408,153.0160249
326,16.32653061,144.4877961
327,17.14285714,144.221528
